date,TICKER,Cleaned_Price,Cleaned_Return
2016-04-22,MSFT,51.78,-0.07171029
2016-04-25,MSFT,52.11,0.006373117
2016-04-26,MSFT,51.44,-0.012857417
2016-04-27,MSFT,50.94,-0.009720062
2016-04-28,MSFT,49.9,-0.020416176
2016-04-29,MSFT,49.87,-0.000601202
2016-05-02,MSFT,50.61,0.01483858
2016-05-03,MSFT,49.78,-0.016399921
2016-05-04,MSFT,49.87,0.001807955
2016-05-05,MSFT,49.94,0.001403649
2016-05-06,MSFT,50.39,0.009010813
2016-05-09,MSFT,50.07,-0.006350466
2016-05-10,MSFT,51.02,0.018973437
2016-05-11,MSFT,51.05,0.000588005
2016-05-12,MSFT,51.51,0.009010774
2016-05-13,MSFT,51.08,-0.008347894
2016-05-16,MSFT,51.83,0.01468285
2016-05-17,MSFT,50.51,-0.025467876
2016-05-18,MSFT,50.81,0.005939418
2016-05-19,MSFT,50.32,-0.009643771
2016-05-20,MSFT,50.62,0.005961844
2016-05-23,MSFT,50.03,-0.011655472
2016-05-24,MSFT,51.59,0.031181291
2016-05-25,MSFT,52.12,0.010273309
2016-05-26,MSFT,51.89,-0.004412893
2016-05-27,MSFT,52.32,0.00828676
2016-05-31,MSFT,53,0.012996942
2016-06-01,MSFT,52.85,-0.002830189
2016-06-02,MSFT,52.48,-0.007000946
2016-06-03,MSFT,51.79,-0.013147866
2016-06-06,MSFT,52.13,0.006564974
2016-06-07,MSFT,52.1,-0.000575484
2016-06-08,MSFT,52.04,-0.001151631
2016-06-09,MSFT,51.62,-0.008070715
2016-06-10,MSFT,51.48,-0.002712127
2016-06-13,MSFT,50.14,-0.026029526
2016-06-14,MSFT,49.83,-0.006182688
2016-06-15,MSFT,49.69,-0.002809552
2016-06-16,MSFT,50.39,0.014087342
2016-06-17,MSFT,50.13,-0.005159754
2016-06-20,MSFT,50.07,-0.001196888
2016-06-21,MSFT,51.19,0.022368684
2016-06-22,MSFT,50.99,-0.003907013
2016-06-23,MSFT,51.91,0.018042753
2016-06-24,MSFT,49.83,-0.040069351
2016-06-27,MSFT,48.43,-0.028095525
2016-06-28,MSFT,49.44,0.020854842
2016-06-29,MSFT,50.54,0.022249191
2016-06-30,MSFT,51.17,0.012465374
2016-07-01,MSFT,51.16,-0.000195427
2016-07-05,MSFT,51.17,0.000195465
2016-07-06,MSFT,51.38,0.004103967
2016-07-07,MSFT,51.38,0
2016-07-08,MSFT,52.3,0.0179058
2016-07-11,MSFT,52.59,0.005544933
2016-07-12,MSFT,53.21,0.011789314
2016-07-13,MSFT,53.51,0.005638038
2016-07-14,MSFT,53.74,0.004298262
2016-07-15,MSFT,53.7,-0.000744325
2016-07-18,MSFT,53.96,0.004841713
2016-07-19,MSFT,53.09,-0.016123054
2016-07-20,MSFT,55.91,0.053117348
2016-07-21,MSFT,55.8,-0.001967448
2016-07-22,MSFT,56.57,0.013799283
2016-07-25,MSFT,56.73,0.002828354
2016-07-26,MSFT,56.76,0.000528821
2016-07-27,MSFT,56.19,-0.010042283
2016-07-28,MSFT,56.21,0.000355935
2016-07-29,MSFT,56.68,0.008361502
2016-08-01,MSFT,56.58,-0.001764291
2016-08-02,MSFT,56.58,0
2016-08-03,MSFT,56.97,0.006892895
2016-08-04,MSFT,57.39,0.007372301
2016-08-05,MSFT,57.96,0.009932044
2016-08-08,MSFT,58.06,0.001725328
2016-08-09,MSFT,58.2,0.002411299
2016-08-10,MSFT,58.02,-0.003092784
2016-08-11,MSFT,58.3,0.004825922
2016-08-12,MSFT,57.94,-0.006174957
2016-08-15,MSFT,58.12,0.003106662
2016-08-16,MSFT,57.44,-0.011699931
